,depth below surface (mm),pex_x,pex_y,pex_z,mean_pex (mm),pc_x,pc_y,pc_z ,mean_pc (mm),phi_i,rho (kgm-3),ssa (mm-1),,,pex [(px+py+pz)/3] (mm),Aniso [(pex_x+pex_y)/2]/pex_z
'D0001411_GREY_TOP07_corr.dat',67.84,0.101870437,0.100803573,0.07594713,0.088642068,0.129965769,0.130158839,0.107161539,0.118611922,0.131086,120.205862,29.30275434,,,0.092873934,1.334309864
'D0001411_GREY_TOP08_corr.dat',69.12,0.095764966,0.093554196,0.079678126,0.087168854,0.125619928,0.126582134,0.111477666,0.118789349,0.142636,130.797212,28.87006314,,,0.089665804,1.188024695
'D0001411_GREY_TOP09_corr.dat',70.4,0.101253818,0.098026662,0.079470635,0.089555437,0.127373011,0.127539838,0.110383525,0.118919975,0.135105,123.891285,29.09166438,,,0.092917099,1.253799477
'D0001411_GREY_TOP10_corr.dat',71.68,0.108757492,0.101169563,0.077315645,0.091139586,0.127719852,0.12541306,0.109467351,0.118016903,0.135787,124.516679,29.29116002,,,0.095747487,1.357597515
'D0001411_GREY_TOP11_corr.dat',72.96,0.10742817,0.100870763,0.079545334,0.091847401,0.124633987,0.125302815,0.111113917,0.118041159,0.131779,120.841343,29.42095823,,,0.095948117,1.309309558
'D0001411_GREY_TOP12_corr.dat',74.24,0.116665206,0.117089365,0.085140506,0.101008895,0.127753129,0.133351146,0.115839695,0.123195916,0.128914,118.214138,28.28295056,,,0.106297905,1.372757705
'D0001411_GREY_TOP13_corr.dat',75.52,0.123794718,0.133660855,0.089142779,0.108935283,0.129588281,0.135749826,0.11882772,0.125748386,0.134996,123.791332,27.51539084,,,0.115531685,1.444062969
'D0001411_GREY_TOP14_corr.dat',76.8,0.091476478,0.09990858,0.075256853,0.085474691,0.111065707,0.115095607,0.102029105,0.107554881,0.144183,132.215811,31.82810457,,,0.088880623,1.271545712
'D0001411_GREY_TOP15_corr.dat',78.08,0.074046272,0.075331589,0.062948602,0.068818766,0.100489328,0.103587786,0.092901537,0.097470047,0.165955,152.180735,34.22774588,,,0.070775488,1.186506575
'D0001411_GREY_TOP16_corr.dat',79.36,0.073712966,0.074140802,0.063758072,0.068842478,0.102427647,0.105258922,0.095042967,0.099443126,0.184429,169.121393,32.80552543,,,0.07053728,1.15949059
'D0001411_GREY_TOP17_corr.dat',80.64,0.072314838,0.072102465,0.063483424,0.067846038,0.103606731,0.105607928,0.095341922,0.099974626,0.178333,163.531361,32.87502177,,,0.069300242,1.137441046
'D0001411_GREY_TOP18_corr.dat',81.92,0.073003977,0.072976321,0.061139966,0.067065058,0.103401815,0.105554535,0.092097636,0.098287905,0.165197,151.485649,33.97378333,,,0.069040088,1.193820567
'D0001411_GREY_TOP19_corr.dat',83.2,0.072281538,0.071627089,0.062062188,0.067008251,0.098070423,0.099250939,0.089299769,0.093980225,0.211128,193.604376,33.57608468,,,0.068656941,1.159390533
'D0001411_GREY_BOT00_corr.dat',84.48,0.091848829,0.099674245,0.074047018,0.084904278,0.13448205,0.140975969,0.110129284,0.123929147,0.145556,133.474852,27.57846796,,,0.088523326,1.293253117
'D0001411_GREY_BOT01_corr.dat',85.76,0.093894207,0.097931519,0.071792003,0.083852433,0.135735108,0.138769031,0.108267902,0.122759986,0.151452,138.881484,27.64900936,,,0.087872565,1.335982559
'D0001411_GREY_BOT02_corr.dat',87.04,0.09432005,0.0951534,0.070331843,0.082534284,0.135655959,0.137096481,0.108388103,0.122382161,0.161712,148.289904,27.39902585,,,0.086601741,1.346996186
'D0001411_GREY_BOT03_corr.dat',88.32,0.091276999,0.095729618,0.071583298,0.082543304,0.133159855,0.136858377,0.107971351,0.121490233,0.167502,153.599334,27.40954483,,,0.086196641,1.306216822
'D0001411_GREY_BOT04_corr.dat',89.6,0.087968821,0.091412196,0.070934084,0.080312296,0.130596262,0.133224863,0.106508117,0.11920934,0.184169,168.882973,27.37473434,,,0.083438405,1.264420473
'D0001411_GREY_BOT05_corr.dat',90.88,0.095560794,0.096531329,0.070214069,0.083130065,0.134190257,0.136511454,0.106584173,0.120967514,0.177507,162.773919,27.19715305,,,0.087435445,1.367903368
'D0001411_GREY_BOT06_corr.dat',92.16,0.114451499,0.111271041,0.066883215,0.089872242,0.144015202,0.145380275,0.101613692,0.123155715,0.151914,139.305138,27.54516093,,,0.097534522,1.687437881
'D0001411_GREY_BOT07_corr.dat',93.44,0.113163539,0.108952424,0.065381226,0.088219604,0.142888059,0.142684291,0.099404662,0.121095418,0.153693,140.936481,27.95504605,,,0.095832222,1.698621884
'D0001411_GREY_BOT08_corr.dat',94.72,0.097114112,0.096547893,0.066487354,0.081659178,0.129857443,0.131257956,0.09976416,0.11516093,0.181376,166.321792,28.43408786,,,0.086716469,1.456382264
'D0001411_GREY_BOT09_corr.dat',96,0.093922163,0.094842319,0.06445913,0.079420686,0.125178271,0.128370341,0.100465459,0.113619883,0.206075,188.970775,27.95021372,,,0.084407855,1.464218343
'D0001411_GREY_BOT10_corr.dat',97.28,0.110489414,0.113200788,0.067729303,0.089787202,0.135005493,0.138844633,0.104406288,0.120665675,0.179771,164.850007,27.19013497,,,0.09714029,1.651354681
'D0001411_GREY_BOT11_corr.dat',98.56,0.120612608,0.12626706,0.070965773,0.097202803,0.140819348,0.146591688,0.102790232,0.123247875,0.151266,138.710922,27.54559457,,,0.105950049,1.739427742
'D0001411_GREY_BOT12_corr.dat',99.84,0.108026055,0.111030589,0.072801538,0.09116493,0.132491674,0.137905462,0.103595045,0.119396806,0.155452,142.549484,28.2938221,,,0.097285924,1.504478143
'D0001411_GREY_BOT13_corr.dat',101.12,0.091499937,0.094065105,0.079534713,0.086158617,0.125018549,0.127550151,0.110397215,0.118340783,0.160582,147.253694,28.37290677,,,0.088366586,1.166566367
'D0001411_GREY_BOT14_corr.dat',102.4,0.096692922,0.099283705,0.083395632,0.090691973,0.127385217,0.130472485,0.110643914,0.119786383,0.135802,124.530434,28.85797139,,,0.093124256,1.174981362
